id,sensor__sensor_id,sensor__sensor_name,value,unit,timestamp
8068,sensor_turbidity,Cảm biến độ đục,39.9,%,2025-04-08 01:55:00
8067,sensor_ph,Cảm biến PH,7.85,pH,2025-04-08 01:55:00
8066,sensor_tds,Cảm biến TDS,112.2,%,2025-04-08 01:55:00
8065,sensor_temp,Nhiệt Độ,26.5,°C,2025-04-08 01:55:00
8064,sensor_turbidity,Cảm biến độ đục,28.9,%,2025-04-08 02:00:00
8063,sensor_ph,Cảm biến PH,7.04,pH,2025-04-08 02:00:00
8062,sensor_tds,Cảm biến TDS,109.8,%,2025-04-08 02:00:00
8061,sensor_temp,Nhiệt Độ,27.8,°C,2025-04-08 02:00:00
8060,sensor_turbidity,Cảm biến độ đục,44.8,%,2025-04-08 02:05:00
8059,sensor_ph,Cảm biến PH,7.35,pH,2025-04-08 02:05:00
8058,sensor_tds,Cảm biến TDS,132.6,%,2025-04-08 02:05:00
8057,sensor_temp,Nhiệt Độ,30.1,°C,2025-04-08 02:05:00
8056,sensor_turbidity,Cảm biến độ đục,18.8,%,2025-04-08 02:10:00
8055,sensor_ph,Cảm biến PH,7.79,pH,2025-04-08 02:10:00
8054,sensor_tds,Cảm biến TDS,93.7,%,2025-04-08 02:10:00
8053,sensor_temp,Nhiệt Độ,28.1,°C,2025-04-08 02:10:00
8052,sensor_turbidity,Cảm biến độ đục,23.4,%,2025-04-08 02:15:00
8051,sensor_ph,Cảm biến PH,6.75,pH,2025-04-08 02:15:00
8050,sensor_tds,Cảm biến TDS,121.8,%,2025-04-08 02:15:00
8049,sensor_temp,Nhiệt Độ,30.6,°C,2025-04-08 02:15:00
8048,sensor_turbidity,Cảm biến độ đục,20.6,%,2025-04-08 02:20:00
8047,sensor_ph,Cảm biến PH,7.73,pH,2025-04-08 02:20:00
8046,sensor_tds,Cảm biến TDS,117.0,%,2025-04-08 02:20:00
8045,sensor_temp,Nhiệt Độ,27.1,°C,2025-04-08 02:20:00
8044,sensor_turbidity,Cảm biến độ đục,17.2,%,2025-04-08 02:25:00
8043,sensor_ph,Cảm biến PH,7.36,pH,2025-04-08 02:25:00
8042,sensor_tds,Cảm biến TDS,152.7,%,2025-04-08 02:25:00
8041,sensor_temp,Nhiệt Độ,27.3,°C,2025-04-08 02:25:00
8040,sensor_turbidity,Cảm biến độ đục,44.3,%,2025-04-08 02:30:00
8039,sensor_ph,Cảm biến PH,6.51,pH,2025-04-08 02:30:00
8038,sensor_tds,Cảm biến TDS,79.0,%,2025-04-08 02:30:00
8037,sensor_temp,Nhiệt Độ,28.8,°C,2025-04-08 02:30:00
8036,sensor_turbidity,Cảm biến độ đục,22.1,%,2025-04-08 02:35:00
8035,sensor_ph,Cảm biến PH,6.79,pH,2025-04-08 02:35:00
8034,sensor_tds,Cảm biến TDS,74.2,%,2025-04-08 02:35:00
8033,sensor_temp,Nhiệt Độ,26.6,°C,2025-04-08 02:35:00
8032,sensor_turbidity,Cảm biến độ đục,36.4,%,2025-04-08 02:40:00
8031,sensor_ph,Cảm biến PH,6.79,pH,2025-04-08 02:40:00
8030,sensor_tds,Cảm biến TDS,122.7,%,2025-04-08 02:40:00
8029,sensor_temp,Nhiệt Độ,30.4,°C,2025-04-08 02:40:00
8028,sensor_turbidity,Cảm biến độ đục,21.9,%,2025-04-08 02:45:00
8027,sensor_ph,Cảm biến PH,7.4,pH,2025-04-08 02:45:00
8026,sensor_tds,Cảm biến TDS,118.8,%,2025-04-08 02:45:00
8025,sensor_temp,Nhiệt Độ,28.9,°C,2025-04-08 02:45:00
8024,sensor_turbidity,Cảm biến độ đục,10.7,%,2025-04-08 02:50:00
8023,sensor_ph,Cảm biến PH,6.72,pH,2025-04-08 02:50:00
8022,sensor_tds,Cảm biến TDS,151.8,%,2025-04-08 02:50:00
8021,sensor_temp,Nhiệt Độ,28.8,°C,2025-04-08 02:50:00
8020,sensor_turbidity,Cảm biến độ đục,13.4,%,2025-04-08 02:55:00
8019,sensor_ph,Cảm biến PH,7.63,pH,2025-04-08 02:55:00
8018,sensor_tds,Cảm biến TDS,74.6,%,2025-04-08 02:55:00
8017,sensor_temp,Nhiệt Độ,28.3,°C,2025-04-08 02:55:00
8016,sensor_turbidity,Cảm biến độ đục,16.9,%,2025-04-08 03:00:00
8015,sensor_ph,Cảm biến PH,7.51,pH,2025-04-08 03:00:00
8014,sensor_tds,Cảm biến TDS,103.1,%,2025-04-08 03:00:00
8013,sensor_temp,Nhiệt Độ,26.9,°C,2025-04-08 03:00:00
8012,sensor_turbidity,Cảm biến độ đục,10.3,%,2025-04-08 03:05:00
8011,sensor_ph,Cảm biến PH,6.76,pH,2025-04-08 03:05:00
8010,sensor_tds,Cảm biến TDS,115.4,%,2025-04-08 03:05:00
8009,sensor_temp,Nhiệt Độ,29.1,°C,2025-04-08 03:05:00
8008,sensor_turbidity,Cảm biến độ đục,36.2,%,2025-04-08 03:10:00
